Loc	LDS
AL	0.0077
AK	0.0458
AZ	0.06
AR	0.010700000000000001
CA	0.0191
CO	0.026099999999999998
CT	0.0045000000000000005
DE	0.0058
DC	0.0045000000000000005
FL	0.0075
GA	0.008199999999999999
HI	0.053
ID	0.2586
IL	0.0045000000000000005
IN	0.0068000000000000005
IA	0.009000000000000001
KS	0.0132
KY	0.008
LA	0.0064
ME	0.008199999999999999
MD	0.0072
MA	0.0040999999999999995
MI	0.0045000000000000005
MN	0.0059
MS	0.0073
MO	0.0118
MT	0.0473
NE	0.013000000000000001
NH	0.006500000000000001
NJ	0.0038
NM	0.0331
NY	0.0043
NC	0.0085
ND	0.0152
OH	0.0054
OK	0.0124
OR	0.0364
PA	0.0040999999999999995
RI	0.004
SC	0.008
SD	0.012
TN	0.0077
TX	0.0125
UT	0.6631999999999999
VT	0.0074
VA	0.0113
WA	0.038
WV	0.0096
WI	0.004699999999999999
WY	0.11699999999999999
